번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"1","We need to talk  how to have conversations that matter","Headlee, Celeste","Harperwave","2017","9780062669018","","","","802.56","1","0","2022-12-30",
"2","(The)Seven Husbands of Evelyn Hugo","Reid, Taylor Jenkins","Simon & Schuster Ltd","2021","9781398515697","","","","843","1","0","2022-12-30",
"3","(The)Ride of a Lifetime  Lessons Learned from 15 Years as CEO of the Walt Disney Company","Iger, Robert","PENGUIN RANDOM HOUSE USA EX","2019","9781984801463","","","","325.1","1","0","2022-12-30",
"4","One Day in December","Silver, Josie","Ballantine","2020","9780593160329","","","","843","1","0","2022-12-30",
"5","Conversations With Friends","Rooney, Sally","Faber & Faber","2017","9780571333134","","","","843","1","0","2022-12-30",
"6","시티 픽션, 지금 어디에 살고 계십니까? [대활자본]","조남주","한겨레엔","2022","9791160408577","","","","813.6","1","0","2022-12-30",
"7","방금 떠나온 세계 [대활자본] : 김초엽 소설집","김초엽","한겨레엔","2022","9791160406962","","","","813.6","1","0","2022-12-30",
"8","모든 날 모든 순간, 내 마음의 기록법 [대활자본] : 고단한 마음을 보듬고 성장을 돕는 153가지 글쓰기 매뉴얼","박미라","그래도봄","2022","9791192410081","","","","802","1","0","2022-12-30",
"9","말끝이 당신이다 [대활자본]  주변을 보듬고 세상과 연대하는 말하기의 힘","김진해","한겨레엔","2022","9791160408546","","","","802.4","1","0","2022-12-30",
"10","달러구트 꿈 백화점 [대활자본] : 이미예 장편소설 . 2 , 단골손님을 찾습니다","이미예","팩토리나인","2022","9791165345686","","","2","813.6","1","0","2022-12-30",
"11","눈물 한 방울 [대활자본] : 이어령의 마지막 노트 2019~2022","이어령","김영사","2022","9788934940661","","","","818","1","0","2022-12-30",
"12","너 어떻게 살래 [대활자본] : 인공지능에 그리는 인간의 무늬","이어령","파람북","2022","9791192265544","","","3","814.6","1","0","2022-12-30",
"13","너 어디에서 왔니 [대활자본] : 한국인 이야기-탄생","이어령","파람북","2022","9791190052979","","","2","814.6","1","0","2022-12-30",
"14","너 누구니 [대활자본] : 젓가락의 문화유전자","이어령","파람북","2022","9791192265179","","","1","814.6","1","0","2022-12-30",
"15","남편이 해주는 밥이 제일 맛있다 [대활자본] : 서툰 은퇴 남편의 주방 적응기","박승준","오르골","2022","9791197036798","","","","818","1","0","2022-12-30",
"16","나는 액티브 시니어다 [대활자본] : 나이 들어도 할 수 있는 슬기로운 직업 생활","윤석윤","북바이북","2022","9791190812368","","","","818","1","0","2022-12-30",
"17","끝까지 남겨두는 그 마음 [대활자본] : 나태주 필사시집","나태주","북로그컴퍼니","2021","9791190224802","","","","811.6","1","0","2022-12-30",
"18","그리스인 조르바 [대활자본] : 니코스 카잔차키스 장편소설","카잔차키스, 니코스","열린책들","2022","9788932918051","","","","892.1","1","0","2022-12-30",
"19","걷기의 말들 [대활자본] : 일상이 즐거워지는 마법의 주문","마녀체력","유유","2022","9791167700346","","","","818","1","0","2022-12-30",
"20","역사의 쓸모 [대활자본] : 자유롭고 떳떳한 삶을 위한 22가지 통찰","최태성","다산북스","2019","9791130622521","","","","904","1","0","2022-12-30",
"21","궁궐 걷는 법 [대활자본] : 왕궁을 내 집 뜰처럼 누리게 하는 산책자의 가이드","이시우","유유","2022","9791167700377","","","","911.05","1","0","2022-12-30",
"22","햇빛은 찬란하고 인생은 귀하니까요 [대활자본] : 밀라논나 이야기","장명숙","김영사","2022","9788934949091","","","","818","1","0","2022-12-30",
"23","하쿠다 사진관 [대활자본] : 허태연 장편소설","허태연","다산북스","2022","9791130693095","","","","813.6","1","0","2022-12-30",
"24","칵테일, 러브, 좀비 [대활자본]","조예은","안전가옥","2022","9791191193657","","","","813.6","1","0","2022-12-30",
